발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
마일스톤솔루션,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,케이씨씨건설
밝은다올제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,(주)소노인터내셔널
비케이퍼스트제삼차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,해당없음
아이언송정제일차,일반기업,지에스건설,SPC 또는 유동화증권에 대한 신용보강,지에스건설
아이에이안산제이차,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,안강건설
알에이제이차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
알에이해운대제사차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,해운대마린원피에프브이(주)
엠에스케이제이차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,효성중공업
오엔지센하,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
올인제삼차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,우방
위드지엠제삼차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,(주)소노인터내셔널
유니버스병점,금융기관,신영증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
이지플랜트제팔차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
제이에이치더블제일차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
제이온파주,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,유호산업개발
챔피언루나,금융기관,유진투자증권,유동화증권 매입보장,디엘이앤씨 주식회사
카스타드제일차,금융기관,메리츠증권,유동화증권 매입보장,해당없음
카이로스제십삼차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,한국건설
케이티비씨씨제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,삼부토건
키스알에프선화제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,코오롱글로벌
키스알에프선화제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,코오롱글로벌
키스알에프선화제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,코오롱글로벌
키스알에프선화제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,코오롱글로벌
태평로유동화제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
티더블유서초제삼차,금융기관,비엔케이투자증권,유동화증권 매입보장,효성중공업
티더블유서초제일차,금융기관,케이비증권,유동화증권 매입보장,효성중공업
플랜업구조화제일차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
그레이트신광교제일차,금융기관,메리츠증권,SPC 또는 유동화증권에 대한 신용보강,피엔지건설(주)
뉴스타촉진,일반기업,지에스건설,SPC 또는 유동화증권에 대한 신용보강,지에스건설
더웨이브제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
로이케이순천제이차,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,대광건영
비케이한남원,금융기관,아이비케이투자증권,유동화증권 매입보장,해당없음
스마트시티제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
스위트에이치한남제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
트루에이치제육차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하우징에이제이제이차,,하이투자증권,발행인 신용도,해당없음
하이동래온천제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하이송라제이차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
하이송라제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
그레이트엠디제일차,금융기관,메리츠증권,SPC 또는 유동화증권에 대한 신용보강,미정
글로리첨단제일차,금융기관,한국투자증권,유동화증권 매입보장,제일건설
글로리첨단제일차,금융기관,한국투자증권,유동화증권 매입보장,제일건설
뉴스타시티제삼차,금융기관,케이비증권,유동화증권 매입보장,중흥토건 (주)
뉴스타양주역제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
다올랩터제이차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
더센트럴지엠제이십삼차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,삼정기업
더센트럴지엠제이십이차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,삼정기업
더퍼스트목감제이차,금융기관,대신증권,유동화증권 매입보장,(주)광신종합건설
더퍼스트목감제일차,금융기관,대신증권,유동화증권 매입보장,(주)광신종합건설
디스트릭트양주,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
디에이지축제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,에이스건설
리멤버제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
리멤버제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
마운틴모드제일차,금융기관,다올투자증권(주),유동화증권 매입보장,에스원건설(주)
마운틴모드제일차,금융기관,다올투자증권(주),유동화증권 매입보장,에스원건설(주)
민스크제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
베스트이에이치제이차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
알파왕길제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,서해종합건설
에프엔첨단제일차,금융기관,삼성증권,유동화증권 매입보장,현대엔지니어링
에프엔첨단제일차,금융기관,삼성증권,유동화증권 매입보장,현대엔지니어링
에프엔피에프포제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
엠에스케이제삼차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
엠에이신천제삼차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,태영건설
엠에이신천제이차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,태영건설
용산주택개발제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,현대건설
원진제삼차,금융기관,이베스트투자증권,유동화증권 매입보장,대우건설
증산파이브제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
챔피언별내제일차,금융기관,유진투자증권,SPC 또는 유동화증권에 대한 신용보강,화성산업
케이피에스시화제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,디엘건설(주)
텍스트제일차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,대우건설
퍼스트죽전제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,디엘건설(주)
퍼스트죽전제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,디엘건설(주)
그라티아제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
글로리비티비제일차,금융기관,한국투자증권,유동화증권 매입보장,제일건설
기은센상동제이차,일반기업,롯데건설,유동화증권 매입보장,롯데건설
루멘룩스제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
머스트픽제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
어니스트현제이차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
엠에스아이디제구차,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
오스피셔스제팔차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
케이피에스시화제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,디엘건설(주)
트루반포제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
트루반포제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
프렌치샤인제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,에스케이에코플랜트(주)
골드마운틴제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
네오엘리브,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
뉴스테이트제이차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,선원건설(주)
디에스이차,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,태원건설산업
랜드마크논현제삼차,금융기관,신한투자증권(주),유동화증권 매입보장,(주)포스코이앤씨
실버라이닝제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
실버라이닝제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
아이에스풍무,금융기관,중소기업은행,SPC 또는 유동화증권에 대한 신용보강,대우건설
에스엘티연산,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
에이블은화삼제이차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
에프엔실버제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
에프엔실버제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
엘프라퍼티투,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
온새미로제오차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
이프에이에스,금융기관,현대차증권,SPC 또는 유동화증권에 대한 신용보강,디엘건설(주)
인베스토리제오차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
죽전동공동주택제이차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
챔피언레스큐,금융기관,유진투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계
케이비오산세교제이차,금융기관,케이비증권,유동화증권 매입보장,(주)포스코이앤씨
코스모루나,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
트렌스러핀,금융기관,하나증권(주),유동화증권 매입보장,대우건설
프로젝트월산,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
프리마논현찰리,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
피에프개발제삼차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하이레인메이커제삼차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하이오션커미트제십구차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하이오션커미트제십육차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
가르다제일차,금융기관,신한투자증권(주),유동화증권 매입보장,롯데건설
노르마제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,도현종합건설
뉴월드궐동제이차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,남광토건
뉴월드궐동제일차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,남광토건
더퍼스트지엠제삼십차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,한양산업개발
더퍼스트지엠제삼십차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,한양산업개발
로이케이산정,금융기관,비엔케이투자증권,유동화증권 매입보장,농심엔지니어링(주)
메타그린제칠차,금융기관,신한투자증권(주),SPC 또는 유동화증권에 대한 신용보강,영진종합건설(주)
분당뉴본제일차,금융기관,아이비케이투자증권,유동화증권 매입보장,해당없음
브릿지광명,금융기관,대신증권,유동화증권 매입보장,해당없음
브릿지상계,금융기관,대신증권,유동화증권 매입보장,해당없음
블루미라클제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
블루베이제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
비케이한남원,금융기관,아이비케이투자증권,유동화증권 매입보장,해당없음
스카이원제일차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,극동건설
실버스타제삼차,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,남광토건
아이언피에프본촌,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,코오롱글로벌
아이엠대전관저제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,디엘건설(주)
안다미로신기제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,극동건설
에스와이스토리제이차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
에이치제이에스제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,우암건설
에이치제이에스제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,우암건설
엠제이항동제사차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨
엠제이항동제삼차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨
엠제이항동제오차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨
오산부산제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
와이알제사차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,에이치엘디앤아이한라(주)
을지95클라우드,금융기관,현대차증권,SPC 또는 유동화증권에 대한 신용보강,우미건설
이천아미제일차,일반기업,에이치엘디앤아이한라(주),SPC 또는 유동화증권에 대한 신용보강,에이치엘디앤아이한라(주)
이터널중동캐슬제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
이터널중동캐슬제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
제이티망포제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
차이크루제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,미정
청년제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,우방
케이아이에스대체제삼십이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,지에스건설
케이아이에스대체제삼십이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,지에스건설
케이아이에스대체제삼십이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,지에스건설
케이테라제육차,금융기관,키움증권,유동화증권 매입보장,디엘건설(주)
플랜업제이,금융기관,신영증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하이레인메이커제육차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하이메타버스서퍼제십칠차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
하이메타버스서퍼제육차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,디엘건설(주)
하이스톰워커제십삼차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
기은센동대문제삼차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
기은센동대문제이차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
기은센두월제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,대보건설
뉴딜아이디씨제일차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
달보드레제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
도로시제일차,일반기업,롯데건설,유동화증권 매입보장,롯데건설
디에스광명,금융기관,대신증권,유동화증권 매입보장,해당없음
송도플러스제일차,금융기관,현대차증권,유동화증권 매입보장,금광건설
스티아제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
아이비케이송도제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,금광건설
에이블본리제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,에스케이에코플랜트(주)
에이블본리제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,에스케이에코플랜트(주)
에이치엘이천제이차,금융기관,대신증권,유동화증권 매입보장,활림건설(주)
에프에스제일차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,대우조선해양건설
에프에스제일차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,대우조선해양건설
에프엔디디엠제삼차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
에프엔디디엠제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
에프엔디디엠제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
엠에스전주제이차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
엠에이비산파트너스,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,현대건설
엠제이프로제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
엠제이프로제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
오션베스트빌,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
오션베스트빌,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
이마스터제오차,금융기관,신한투자증권(주),유동화증권 매입보장,동우개발
지아이비두월,금융기관,신한은행,SPC 또는 유동화증권에 대한 신용보강,대보건설
청주고속디투,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
쿼드베르힐춘천제일차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
퍼펙트드림제구차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,대명이십일
퍼펙트드림제오차,금융기관,유안타증권,SPC 또는 유동화증권에 대한 신용보강,대명이십일
피아민트제일차,금융기관,메리츠증권,유동화증권 매입보장,롯데건설
하이운정제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,광성종합건설 주식회사
그레이트야음제삼차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
더퍼스트본리제일차,금융기관,대신증권,유동화증권 매입보장,에스케이에코플랜트(주)
디아이에프안흥비원,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,신세계건설
디아이에프안흥비투,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,신세계건설
디아이에프안흥에이원,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,신세계건설
디아이에프안흥에이투,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,신세계건설
디에스일차,금융기관,대신증권,유동화증권 매입보장,현대아산
아로하제일차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,동우건설 주식회사
에프엔성포제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
에프엔성포제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
에프엔성포제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
엑싯제육차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,효성중공업
엠에스케이제이차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,효성중공업
엠에이송라제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
제이부르크제육차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
지아이비경안,금융기관,신한은행,유동화증권 매입보장,태영건설
지아이비경안,금융기관,신한은행,유동화증권 매입보장,태영건설
청라플러스제이차,금융기관,현대차증권,유동화증권 매입보장,에스지씨이테크건설
케이비평리5제일차,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,화성산업
케이아이에스대체제이십칠차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하이오션워커제십육차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
고양로지스제일차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,에스원건설(주)
골든게이트제일차,금융기관,미래에셋증권(주),유동화증권 매입보장,해당없음
블루트리제일차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,반도건설
윤밸리홍창제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,이화공영
제이지제일차,금융기관,한국투자증권,유동화증권 매입보장,롯데건설
챔피언당산,금융기관,유진투자증권,유동화증권 매입보장,에스케이에코플랜트(주)
챔피언당산,금융기관,유진투자증권,유동화증권 매입보장,에스케이에코플랜트(주)
케이피오룡,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,케이씨씨건설
그라티아제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
뉴스타제이에이치센터,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
더블에스천안제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
디비하이엔드제일차,금융기관,키움증권,유동화증권 매입보장,해당없음
롤드돈치치제일차,금융기관,유진투자증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
리미티리제삼차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,삼부토건
에스아이로지스틱스제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,세영건설
에이블도산제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,(주)신영씨앤디
에이블마석제일차,금융기관,케이비증권,유동화증권 매입보장,신세계건설
에프엔송도5제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
에프엔송도5제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
에프엔송도5제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
에프엔송도5제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
에프엔송도5제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
에프엔송도5제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
엠에스부천제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,롯데건설
엠에스부천제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,롯데건설
엠에이백운제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
인더스트리김해제1호,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
인더스트리김해제2호,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
지아이비소사,금융기관,신한은행,SPC 또는 유동화증권에 대한 신용보강,롯데건설
케이비제기제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
케이비제기제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
케이아이에스대체제이십삼차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
프로젝트오학제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
검단나인원제일차,금융기관,하나증권(주),유동화증권 매입보장,대우건설
나인문제일차,금융기관,메리츠증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
뉴딜범어원,금융기관,하나증권(주),유동화증권 매입보장,(주)포스코이앤씨
더블리치제팔차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,안강건설
디벨롭화양,금융기관,신영증권,SPC 또는 유동화증권에 대한 신용보강,디엘건설(주)
마우나제일차,금융기관,유진투자증권,SPC 또는 유동화증권에 대한 신용보강,진흥기업
마우나제일차,금융기관,유진투자증권,SPC 또는 유동화증권에 대한 신용보강,진흥기업
브이카나리아원,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
알파검단파크,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,동부건설
엠엔와이제일차,금융기관,SK증권,유동화증권 매입보장,대우조선해양건설
제이티오장제일차,금융기관,한국투자증권,유동화증권 매입보장,(주)군장종합건설
타이거박달제일차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,대명이십일
티아이주교,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,광성종합건설 주식회사
프라임아이비에스제이차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
피엘엔제오차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
하이성곡제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,(주)신화종합건설
고덕디에스원,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨 주식회사
디에스케이제십차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,태영건설
빅아일제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
스타드블루제칠차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨 주식회사
스테이밸란디,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
아디아고덕제일차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨 주식회사
